,id,start point x,start point y,end point x,end point y,length,predecessor element id,predecessor element type,successor element id,successor element type
37,124,134.11735994144325,-231.66971948312343,125.74452494956138,-238.91991149372626,12.83974969318653,9,road,11,road
38,126,36.31072118774594,-189.56888363763662,43.850792466223794,-198.58166291761032,13.437547238598011,4,road,8,road
39,127,36.31072118774594,-189.56888363763662,43.85079249118754,-198.58195033871885,13.23096102427408,4,road,8,road
40,139,36.31072118774594,-189.56888363763662,51.03477705961238,-189.5756327013234,14.724057418650105,4,road,5,road
41,140,36.31072118774594,-189.56888363763662,51.03477705961238,-189.5756327013234,14.724057418650105,4,road,5,road
42,150,43.85079249118754,-198.58195033871885,51.03477705961238,-189.5756327013234,13.244449071679217,8,road,5,road
43,155,43.85079249118754,-198.58195033871885,51.03477705961238,-189.5756327013234,13.115905137893987,8,road,5,road
44,161,191.68793402036422,-197.3649995202668,183.58827342312105,-189.63639123121814,12.767923755785684,14,road,6,road
45,165,191.68793402036422,-197.3649995202668,183.58855640862836,-189.6363913609301,12.677685601395654,14,road,6,road
46,179,191.68793402036422,-197.3649995202668,191.68453764576952,-182.34264556869277,15.022354335513882,14,road,15,road
47,180,191.68793402036422,-197.3649995202668,191.68453764576952,-182.34264556869277,15.022354335513882,14,road,15,road
48,184,183.58827342312105,-189.63639123121814,191.68453764576952,-182.34264556869277,13.214774883081917,6,road,15,road
49,191,183.58827342312105,-189.63639123121814,191.68453764576952,-182.34264556869277,13.080836470475163,6,road,15,road
50,196,43.859359097113604,-297.2139172589979,36.31108384155143,-304.5383957887657,12.457259913773656,7,road,18,road
51,199,43.859359097113604,-297.2139172589979,36.31108384155143,-304.5383957887657,12.333105054783037,7,road,18,road
52,206,43.859359097113604,-297.2139172589979,51.826932726088174,-304.53108219734145,13.080692902130865,7,road,19,road
53,211,51.82693274823096,-304.531082197349,43.85935911935715,-297.2141733613061,12.496695023130721,19,road,7,road
54,228,36.31108384155143,-304.5383957887657,51.826932726088174,-304.53108219734145,15.515851885681943,18,road,19,road
55,229,36.31108384155143,-304.5383957887657,51.826932726088174,-304.53108219734145,15.515851885681943,18,road,19,road
56,239,-5.45182829613189,-198.23267393511296,-5.455420517059549,-182.32271194471792,15.909962395928702,0,road,1,road
57,240,-5.45182829613189,-198.23267393511296,-5.455420517059549,-182.32271194471792,15.909962395928702,0,road,1,road
58,250,-5.45182829613189,-198.23267393511296,3.400099166063202,-189.55379839985096,14.3365170365385,0,road,4,road
59,254,3.4000991660632014,-189.553798399851,-5.4518283623584916,-198.23238061722364,14.356189586286321,4,road,0,road
60,255,-5.455420517059549,-182.32271194471792,3.4000991660632,-189.55379839985096,13.699796163349601,1,road,4,road
61,262,-5.4554204633378856,-182.32294987818327,3.4000991660632027,-189.55379839985096,13.539399063641605,1,road,4,road
62,274,126.76282141926669,-189.61034415574235,141.0772707837376,-189.6169054681445,14.31445086822481,5,road,6,road
63,275,126.76282141926669,-189.61034415574235,141.0772707837376,-189.6169054681445,14.31445086822481,5,road,6,road
64,284,126.76282141926669,-189.61034415574235,134.15144809973816,-198.04039383217432,12.912635391185049,5,road,9,road
65,288,126.76282141926669,-189.61034415574235,134.15144809973816,-198.04039383217432,12.925269605021967,5,road,9,road
66,294,141.0772707837376,-189.6169054681445,134.15144809973816,-198.04039383217432,12.330472040182514,6,road,9,road
67,298,141.0772707837376,-189.6169054681445,134.15144837535345,-198.04012192665945,12.460140767375913,6,road,9,road
